soil_type,temperature,rainfall,season,crop
Loamy,25,200,Kharif,Paddy
Sandy,30,150,Zaid,Maize
Clayey,22,300,Rabi,Wheat
Silty,24,180,Kharif,Soybean
Loamy,26,210,Rabi,Barley
Clayey,20,280,Rabi,Wheat
Sandy,32,100,Zaid,Groundnut
Silty,27,220,Kharif,Cotton
Loamy,23,250,Kharif,Paddy
Clayey,19,310,Rabi,Mustard
Loamy,25,200,Kharif,Paddy
Sandy,30,150,Zaid,Maize
Clayey,22,300,Rabi,Wheat
Silty,24,180,Kharif,Soybean
Loamy,26,210,Rabi,Barley
Clayey,20,280,Rabi,Wheat
Sandy,32,100,Zaid,Groundnut
Silty,27,220,Kharif,Cotton
Loamy,23,250,Kharif,Paddy
Clayey,19,310,Rabi,Mustard
Red,28,190,Kharif,Millet
Black,21,320,Rabi,Chickpea
Loamy,24,230,Kharif,Paddy
Sandy,33,120,Zaid,Sunflower
Silty,26,240,Kharif,Soybean
Clayey,18,290,Rabi,Wheat
Loamy,25,200,Kharif,Paddy
Black,22,270,Rabi,Lentil
Red,29,160,Kharif,Maize
Sandy,31,130,Zaid,Groundnut
Silty,23,210,Kharif,Cotton
Loamy,27,220,Kharif,Paddy
Clayey,20,300,Rabi,Mustard
Black,24,280,Rabi,Chickpea
Red,30,140,Kharif,Millet
Sandy,32,110,Zaid,Sunflower
Loamy,26,240,Kharif,Paddy
Silty,25,200,Kharif,Soybean
Clayey,21,290,Rabi,Wheat
Black,23,260,Rabi,Lentil
Red,28,180,Kharif,Maize
Loamy,25,210,Kharif,Paddy
Sandy,34,100,Zaid,Groundnut
Silty,24,230,Kharif,Cotton
Clayey,19,320,Rabi,Wheat
Black,22,270,Rabi,Chickpea
Red,27,170,Kharif,Millet
Sandy,31,115,Zaid,Sunflower
Loamy,23,250,Kharif,Paddy
Silty,26,210,Kharif,Soybean
Clayey,20,310,Rabi,Mustard
Black,21,280,Rabi,Lentil
Red,30,160,Kharif,Maize
Sandy,33,105,Zaid,Groundnut
Loamy,24,240,Kharif,Paddy
Silty,25,190,Kharif,Soybean
Clayey,22,300,Rabi,Wheat
Black,23,290,Rabi,Chickpea
Red,29,150,Kharif,Millet
Sandy,28,160,Kharif,Maize
Loamy,24,210,Rabi,Barley
Red,31,180,Zaid,Sunflower
Black,20,300,Rabi,Chickpea
Silty,27,230,Kharif,Cotton
Clayey,19,320,Rabi,Wheat
Sandy,33,115,Zaid,Groundnut
Loamy,25,250,Kharif,Paddy
Red,30,150,Kharif,Millet
Black,22,270,Rabi,Lentil
Silty,26,200,Kharif,Soybean
Clayey,21,310,Rabi,Mustard
Loamy,29,190,Kharif,Paddy
Sandy,32,120,Zaid,Sunflower
Black,23,260,Rabi,Chickpea
Red,28,175,Kharif,Maize
Clayey,22,300,Rabi,Wheat
Loamy,26,240,Kharif,Paddy
Silty,25,210,Kharif,Soybean
Red,27,160,Kharif,Millet
Black,21,290,Rabi,Lentil
Sandy,34,105,Zaid,Groundnut
Loamy,24,230,Kharif,Paddy
Clayey,20,320,Rabi,Mustard
Silty,28,180,Kharif,Cotton
Black,22,280,Rabi,Chickpea
Red,31,150,Kharif,Maize
Loamy,23,250,Kharif,Paddy
Sandy,33,110,Zaid,Sunflower
Clayey,19,300,Rabi,Wheat
Silty,25,220,Kharif,Soybean
Red,30,170,Kharif,Millet
Black,24,270,Rabi,Lentil
Loamy,26,240,Kharif,Paddy
Sandy,31,120,Zaid,Groundnut
Clayey,20,310,Rabi,Mustard
Silty,27,200,Kharif,Cotton
Red,29,160,Kharif,Maize
Black,23,290,Rabi,Chickpea
Loamy,25,230,Kharif,Paddy
Sandy,32,100,Zaid,Sunflower
Clayey,18,330,Rabi,Wheat
Red,30,180,Kharif,Millet
Black,21,260,Rabi,Lentil
Silty,26,210,Kharif,Soybean
Loamy,24,250,Kharif,Paddy
Sandy,33,130,Zaid,Groundnut
Clayey,22,300,Rabi,Wheat
Red,28,170,Kharif,Maize
Black,20,310,Rabi,Chickpea
Silty,25,230,Kharif,Cotton
Loamy,27,220,Kharif,Paddy
Sandy,34,105,Zaid,Sunflower
Red,29,160,Kharif,Millet
Black,23,280,Rabi,Lentil
Clayey,21,290,Rabi,Wheat
Silty,26,200,Kharif,Soybean
Loamy,25,240,Kharif,Paddy
Red,30,150,Kharif,Maize
Black,22,270,Rabi,Chickpea
Sandy,32,110,Zaid,Groundnut
Clayey,20,310,Rabi,Mustard
Silty,27,220,Kharif,Cotton
Loamy,24,250,Kharif,Paddy
Red,28,180,Kharif,Millet
Black,21,290,Rabi,Lentil
Sandy,33,120,Zaid,Sunflower
Clayey,22,300,Rabi,Wheat
Silty,25,200,Kharif,Soybean
Red,31,160,Kharif,Maize
Black,23,280,Rabi,Chickpea
Loamy,26,230,Kharif,Paddy
Sandy,34,115,Zaid,Groundnut
Clayey,19,320,Rabi,Mustard
Silty,26,210,Kharif,Cotton
Red,29,170,Kharif,Millet
Black,24,260,Rabi,Lentil
Loamy,25,240,Kharif,Paddy
Sandy,31,130,Zaid,Sunflower
Clayey,21,310,Rabi,Wheat
Silty,27,200,Kharif,Soybean
Red,30,180,Kharif,Maize
Black,22,290,Rabi,Chickpea

